name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 2 - Rack 1 - C3 - GSS","Section 2 - Rack 1 - C3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - D1 - GSS","Section 2 - Rack 1 - D1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - D2 - GSS","Section 2 - Rack 1 - D2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - D3 - GSS","Section 2 - Rack 1 - D3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - E1 - GSS","Section 2 - Rack 1 - E1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - E2 - GSS","Section 2 - Rack 1 - E2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - E3 - GSS","Section 2 - Rack 1 - E3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - A1234 - GSS","Section 2 - Rack 2 - A1234","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - B1 - GSS","Section 2 - Rack 2 - B1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - B2 - GSS","Section 2 - Rack 2 - B2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - B3 - GSS","Section 2 - Rack 2 - B3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - B4 - GSS","Section 2 - Rack 2 - B4","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - C1 - GSS","Section 2 - Rack 2 - C1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - C2 - GSS","Section 2 - Rack 2 - C2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - C3 - GSS","Section 2 - Rack 2 - C3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - C4 - GSS","Section 2 - Rack 2 - C4","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - D1 - GSS","Section 2 - Rack 2 - D1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - D2 - GSS","Section 2 - Rack 2 - D2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - D3 - GSS","Section 2 - Rack 2 - D3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - D4 - GSS","Section 2 - Rack 2 - D4","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - E1 - GSS","Section 2 - Rack 2 - E1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - E2 - GSS","Section 2 - Rack 2 - E2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - E3 - GSS","Section 2 - Rack 2 - E3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 2 - E4 - GSS","Section 2 - Rack 2 - E4","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - A1 - GSS","Section 3 - Rack 1 - A1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - A2 - GSS","Section 3 - Rack 1 - A2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - B1 - GSS","Section 3 - Rack 1 - B1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - B2 - GSS","Section 3 - Rack 1 - B2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - C1 - GSS","Section 3 - Rack 1 - C1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - C2 - GSS","Section 3 - Rack 1 - C2","Section 3 - GSS",0,"Global Spectrum SARL",0
